gen,nevals,best_primary_fitness,mean_primary_fitness,std,time
0,100,-0.03614536300301552,-0.13546821744922471,0.0764502163223332,
1,84,-0.02719682641327381,-0.0686872953891146,0.032617980533344325,1.882213830947876
2,68,-0.024744901806116104,-0.06069043214665726,0.06365970687480088,1.5233955383300781
3,88,-0.02448691613972187,-0.030727389547973872,0.010782770633562788,1.8462042808532715
4,76,-0.02376323565840721,-0.02824952168390155,0.010594460131218343,1.746459722518921
5,75,-0.02376323565840721,-0.028708552084863184,0.011786938299054724,1.716170072555542
6,83,-0.023761818185448647,-0.02717001147568226,0.00992361056613639,1.9474220275878906
7,83,-0.023730425164103508,-0.02793543543666601,0.009304244190245043,1.732487440109253
8,77,-0.023647578433156013,-0.02652840120717883,0.007458573388765528,1.5485339164733887
9,78,-0.02310139499604702,-0.02719895137473941,0.009014344322265002,1.8376317024230957
10,80,-0.022633574903011322,-0.025992570240050555,0.009154523454802171,1.9560773372650146
11,86,-0.022584479302167892,-0.02541861481964588,0.008462232211207024,2.0403645038604736
12,75,-0.022540105506777763,-0.02445149702951312,0.00582614973793175,1.52573561668396
13,80,-0.022521458566188812,-0.026888226456940174,0.010198137900284501,1.7970631122589111
14,85,-0.022507768124341965,-0.025729920826852323,0.00973842122394862,2.0396018028259277
15,88,-0.022067327052354813,-0.026170271150767803,0.009603742609517824,2.002387046813965
16,83,-0.021965833380818367,-0.02464690273627639,0.005956894616364978,2.168470621109009
17,80,-0.02196347340941429,-0.02443988176062703,0.006417220276252396,2.112771511077881
18,78,-0.02196252904832363,-0.026063633263111115,0.010027188687337372,1.9189865589141846
19,86,-0.02190965600311756,-0.02311968946829438,0.003401052994509401,2.0147292613983154
20,84,-0.0218761395663023,-0.02416894257068634,0.006713493407209787,2.075802803039551
